Time (seconds),Goal velocity (deg/s),Measured velocity (deg/s),Motor temperature (degC)
8.79999998915082e-06,-180.0,-179.9431835890504,25
31.155766599999993,180.0,179.9427800114526,26
62.735860900000034,-180.0,-179.9429875134022,28
94.29334080000001,180.0,179.9427210024072,28
125.87313140000003,-180.0,-179.9427155227442,28
157.48767329999998,180.0,179.9423366729186,29
189.08498559999998,-180.0,-179.9426201706004,31
220.65706970000002,180.0,179.9422708537148,31
252.22982390000004,-180.0,-179.9424425906308,31
283.80370030000006,180.0,179.942126985397,31
315.38582429999997,-180.0,-179.9423210316076,34
346.94244089999995,180.0,179.9420176629888,34
378.47654439999997,-180.0,-179.9421863289114,34
410.0103427,180.0,179.9418647704914,34
441.5986683,-180.0,-179.9420224480628,36
473.14777000000004,180.0,179.941772460431,36
504.72445690000006,-180.0,-179.9419156987086,37
536.2903082,180.0,179.9416688014098,37
567.8497165,-180.0,-179.9418132266472,37
599.3917964,180.0,179.9415865607098,37
630.9643671,-180.0,-179.9416908418142,37
662.5388216,180.0,179.9414613534418,39
694.1102917000001,-180.0,-179.9416366532804,39
725.7345799,180.0,179.9414398240578,39
757.3335925,-180.0,-179.9416191737712,40
788.9223863999999,180.0,179.941374078935,40
820.493818,-180.0,-179.9415419749916,40
852.0438068,180.0,179.9412851861666,40
883.5916315000001,-180.0,-179.9415079546566,42
915.2100541000001,180.0,179.9412962588524,42
946.8052202,-180.0,-179.94151435791,42
978.3996874999999,180.0,179.9412098394614,44
1009.9798926,-180.0,-179.9414642365946,44
1041.5568908999999,180.0,179.9411925553934,44
1073.1368466,-180.0,-179.9413513805556,44
1104.7315930999998,180.0,179.9410409916368,44
1136.3486696999998,-180.0,-179.9413872405436,44
1167.9410941,180.0,179.9410698994342,44
1199.5221276000002,-180.0,-179.9412683850896,45
1231.1037372,180.0,179.941050090579,44
1262.6565695999998,-180.0,-179.9413243335786,45
1294.2339498000001,180.0,179.9409464796058,45
1325.8221328,-180.0,-179.9412688656748,45
1357.392281,180.0,179.9409284767482,47
1388.9927659,-180.0,-179.9410859841094,47
1420.5698535000001,180.0,179.9409204531648,45
1452.1751196999999,-180.0,-179.9410723202116,47
1483.7328437,180.0,179.9408396258028,47
1515.3706751,-180.0,-179.9409490610812,47
1546.9493920999998,180.0,179.9408411750698,47
1578.5596869,-180.0,-179.9409298284252,47
1610.1133384,180.0,179.940726394501,47
1641.6879198000001,-180.0,-179.9407733434512,47
1673.152353,180.0,179.9407780963996,48
1704.6224026999998,-180.0,-179.9407708656494,48
1736.1086908000002,180.0,179.9407322217534,48
1767.6274024,-180.0,-179.9407083107166,48
1799.1123748999998,180.0,179.9406947505218,48
1830.5626815,-180.0,-179.9407538520312,48
1862.0188871999999,180.0,179.940652731482,48
1893.4670631,-180.0,-179.9407085518936,50
1924.9140085999998,180.0,179.9406369539294,48
1956.3814063,-180.0,-179.9406724258792,50
1987.8564235999997,180.0,179.9406708996748,50
2019.3714546,-180.0,-179.940566950301,50
2050.8418281,180.0,179.9406471996254,48
2082.3452225,-180.0,-179.9405775637302,50
2113.8499819999997,180.0,179.9406159477494,50
2145.3411947,-180.0,-179.9405876577672,50
2176.8019439,180.0,179.9407275095314,50
2208.2748514,-180.0,-179.9408908094242,50
2239.7554408,180.0,179.9407169629084,50
2271.2490399999997,-180.0,-179.940555095967,52
2302.7187461,180.0,179.9407260649098,52
2334.1808097999997,-180.0,-179.9406565047262,52
2365.6594665,180.0,179.9405610158618,52
2397.1610656,-180.0,-179.9405693946076,52
2428.6472704,180.0,179.9406661808732,52
2460.127735,-180.0,-179.9406155174044,52
2491.5918825,180.0,179.9406710940718,52
2523.0731855999998,-180.0,-179.9405236194276,53
2554.5104514,180.0,179.940607077311,52
2585.9926456,-180.0,-179.94053870051,52
2617.459985,180.0,179.9405754089942,52
2648.9433759,-180.0,-179.9405612510528,53
2680.5220971999997,180.0,179.9406332163698,53
2712.0025183,-180.0,-179.940542841902,52
2743.4869202,180.0,179.9407191447686,52
2774.9648099,-180.0,-179.9405449348086,52
2806.4446235,180.0,179.9405681239232,52
2837.9686849,-180.0,-179.940496959335,52
2869.4499631999997,180.0,179.9405894551382,53
2900.9040282,-180.0,-179.9404750716216,52
2932.3762537,180.0,179.94057784299,52
2963.8565791,-180.0,-179.940469685329,53
2995.3159126,180.0,179.9406034297406,52
3026.7950925,-180.0,-179.9404876726298,53
3058.2642974,180.0,179.9405511859398,53
3089.7196541999997,-180.0,-179.940405422104,52
3121.2004601,180.0,179.9404960313152,53
3152.6698545,-180.0,-179.9405497452304,52
3184.1374686999998,180.0,179.9405626893186,53
3215.6056496,-180.0,-179.9405422821902,55
3247.0813961,180.0,179.9405831131436,53
3278.5385833,-180.0,-179.940509123102,53
3310.0031931,180.0,179.9405816041516,53
3341.4810714,-180.0,-179.9405722018266,53
3372.9472576,180.0,179.9405479808596,53
3404.4140512,-180.0,-179.9403298094826,53
3435.8706150999997,180.0,179.9403993004684,55
3467.3479656,-180.0,-179.940467762138,53
3498.7875240999997,180.0,179.9406087391566,53
3530.2865197,-180.0,-179.940410501399,53
3561.7733247,180.0,179.9405065569152,53
3593.2683761999997,-180.0,-179.940519876394,53
3624.851909,180.0,179.9404461083112,53
3656.3721968,-180.0,-179.94040591685,53
3687.8517137999997,180.0,179.9406359452976,55
3719.3055098,-180.0,-179.9405509267182,55
3750.7986373999997,180.0,179.940474350888,53
3782.289139,-180.0,-179.9404579365564,55
3813.744664,180.0,179.9405461910512,55
3845.2470184000003,-180.0,-179.9405173286922,55
3876.7144255000003,180.0,179.9404303896122,53
3908.1588424,-180.0,-179.9404001146282,55
3939.649907,180.0,179.9405431301282,55
3971.1771459,-180.0,-179.9405526418946,55
4002.6665749000003,180.0,179.9404820275764,55
4034.1340596,-180.0,-179.9403871679748,53
4065.5834127999997,180.0,179.9405177912834,55
4097.0942998,-180.0,-179.9404052313024,55
4128.5602916,180.0,179.9405908052858,55
4160.0297252,-180.0,-179.9404091305226,55
4191.5045552,180.0,179.9405491943762,55
4222.9909708,-180.0,-179.9404120025764,55
4254.578543,180.0,179.940500551866,55
4286.0588722,-180.0,-179.9405416723426,55
