Time (seconds),Goal velocity (deg/s),Measured velocity (deg/s),Motor temperature (degC)
8.299999535665847e-06,-180.0,-179.9435364979956,26
31.016929100000198,180.0,179.9428340022824,28
62.63080160000027,-180.0,-179.9429846589516,31
94.2150346999997,180.0,179.9427316677442,31
125.77037469999959,-180.0,-179.9426669158808,31
157.3610865999999,180.0,179.9425432878584,32
188.94606159999967,-180.0,-179.9424937448756,32
220.5166233,180.0,179.9424226900048,32
252.07380490000014,-180.0,-179.942246971278,32
283.6697223000001,180.0,179.9422433016124,34
315.2117803000001,-180.0,-179.9421088099076,36
346.7797214000002,180.0,179.942057277503,36
378.23242370000025,-180.0,-179.942023614601,36
409.7924114999996,180.0,179.941864447352,37
441.24857950000023,-180.0,-179.941902812601,37
472.7886093999996,180.0,179.9417341213232,39
504.2387064000004,-180.0,-179.9417869048222,39
535.6892891999996,180.0,179.941565432594,39
567.1537152000001,-180.0,-179.9416220757264,40
598.5997670999996,180.0,179.9414536721822,40
630.0581284,-180.0,-179.941472663561,40
661.5185568999996,180.0,179.9413266173284,42
692.9800009999999,-180.0,-179.9413540670886,42
724.4205406000001,180.0,179.941229488265,42
755.9187621000001,-180.0,-179.9413170976752,42
787.4968533000001,180.0,179.9411473758998,42
818.9527910999996,-180.0,-179.9412910157452,44
850.4751920999997,180.0,179.9410619261704,44
882.0483040999998,-180.0,-179.9410700934578,42
913.4860369999997,180.0,179.9409319901424,45
944.9296726000002,-180.0,-179.9410974691254,44
976.3729328999998,180.0,179.9408915678044,44
1007.8241871,-180.0,-179.940917041098,45
1039.2972683999997,180.0,179.9407920491626,45
1070.7605482999998,-180.0,-179.9408004549554,47
1102.2498176999998,180.0,179.9407086710964,45
1133.7472406999996,-180.0,-179.9407412804258,45
1165.1733849000002,180.0,179.9406297625376,45
1196.6242204999999,-180.0,-179.9406221587062,47
1228.0533460999995,180.0,179.9405970213552,47
1259.5148946,-180.0,-179.9406865714708,48
1291.0640947000002,180.0,179.9406093219004,47
1322.5253294000004,-180.0,-179.9406673453412,48
1353.9989518000002,180.0,179.9405414640418,48
1385.4766496000002,-180.0,-179.9407623654226,48
1417.0319710000003,180.0,179.940476264539,48
1448.5913010000004,-180.0,-179.940653587615,48
1480.1219423999992,180.0,179.9404911718226,50
1511.5863470000004,-180.0,-179.9407122459304,48
1543.1563549000002,180.0,179.940479489672,50
1574.7180946000008,-180.0,-179.9405088112056,50
1606.1536269000007,180.0,179.9404591342374,50
1637.6129165000002,-180.0,-179.9405459836628,50
1669.0735332000004,180.0,179.9404184848768,52
1700.5284128999992,-180.0,-179.9404241170368,50
1731.9780007999998,180.0,179.9403382211842,50
1763.539902299999,-180.0,-179.9403854350506,50
1794.9897423999992,180.0,179.9403171033926,50
1826.4765907,-180.0,-179.9404167656806,50
1858.0425775000003,180.0,179.9402666258702,52
1889.5089339999995,-180.0,-179.9405139703324,50
1921.0555659000001,180.0,179.9402798592938,52
1952.6461352999995,-180.0,-179.9403284398644,52
1984.0920270000006,180.0,179.9402606574798,52
2015.5568125999998,-180.0,-179.94040840694,50
2047.1319354000007,180.0,179.940298185009,52
2078.5735330000007,-180.0,-179.9403602837976,53
2110.003923099999,180.0,179.9403807643366,52
2141.4486823000007,-180.0,-179.9403530368402,52
2172.8960165999997,180.0,179.940213960921,52
2204.4609366000004,-180.0,-179.9402989461542,52
2235.901523299999,180.0,179.9401973619296,52
2267.3616557999994,-180.0,-179.9402893189226,52
2298.933048000001,180.0,179.9401528268336,53
2330.4837227999997,-180.0,-179.9402048079504,53
2361.9414395999993,180.0,179.9400838965266,53
2393.4330087,-180.0,-179.9402471491782,53
2425.027068900001,180.0,179.940264136347,53
2456.4678131,-180.0,-179.940330684993,53
2487.907765,180.0,179.9400495574972,53
2519.4573077999994,-180.0,-179.9401701274318,53
2550.9264743000003,180.0,179.9400680659362,55
2582.3723085,-180.0,-179.9400652747918,53
2613.8263604000003,180.0,179.9399505187874,53
2645.2700688999994,-180.0,-179.940137028067,53
2676.7201281,180.0,179.9400117368656,53
2708.1812888999993,-180.0,-179.9400059362952,53
2739.6361973000003,180.0,179.9399719038042,55
2771.0907783000002,-180.0,-179.9400669117294,53
2802.543766500001,180.0,179.9399483513618,52
2833.9947415000006,-180.0,-179.9400745187062,55
2865.4433580999994,180.0,179.9400223021846,55
2896.9198773999997,-180.0,-179.9401063356024,55
2928.3623033999993,180.0,179.9399872644004,53
2959.8256261999995,-180.0,-179.9400923531144,55
2991.3666697999997,180.0,179.9399650994196,55
3022.8496075000003,-180.0,-179.9400378842966,55
3054.2875327,180.0,179.9399473718974,55
3085.739398399999,-180.0,-179.9399674156054,55
3117.171635500001,180.0,179.9399203039326,55
3148.6472242,-180.0,-179.9400464395666,55
3180.096709900001,180.0,179.9399314419978,55
3211.550282099999,-180.0,-179.9400799432326,55
3243.0943651,180.0,179.9399475875286,55
3274.5729204,-180.0,-179.939971719215,55
3306.0334170000006,180.0,179.9399640812714,55
3337.5152003000003,-180.0,-179.9400145121996,55
3368.9378419999994,180.0,179.9399350585534,55
3400.4210834999994,-180.0,-179.940013636156,55
3431.961426600001,180.0,179.9399771533914,55
3463.4068750000006,-180.0,-179.9400620602276,55
3494.9272889999993,180.0,179.93996917234,57
3526.4193455000004,-180.0,-179.9400759690634,57
3557.8913809999995,180.0,179.9398922086298,55
3589.4848882000006,-180.0,-179.9399716945898,55
3621.0434592,180.0,179.9399263126882,55
3652.484520599999,-180.0,-179.9400124405276,55
3683.9383818000006,180.0,179.9399217836502,55
3715.3979786,-180.0,-179.9400972496572,55
3746.9295502999994,180.0,179.9398635565776,55
3778.491295399999,-180.0,-179.9399659182286,55
3809.9521563,180.0,179.9398957230874,57
3841.4229548999992,-180.0,-179.9399566517706,55
3872.8712662,180.0,179.9398956219656,55
3904.353685599999,-180.0,-179.9399342006698,57
3935.8124996000006,180.0,179.9398869867884,55
3967.294161,-180.0,-179.9399542171066,57
3998.8566419,180.0,179.9398879585726,57
4030.3230454000004,-180.0,-179.9401281934518,57
4061.8488737999996,180.0,179.9399340476396,57
4093.413302000001,-180.0,-179.9399667711162,57
4124.882907499999,180.0,179.9399256700062,57
4156.3361368999995,-180.0,-179.940075198803,55
4187.8757368999995,180.0,179.939908497846,57
4219.350229899999,-180.0,-179.940007626266,55
4250.8069024,180.0,179.9398648277428,55
4282.384112600001,-180.0,-179.939799560458,57
4313.8384238,180.0,179.9398710465046,57
4345.2958961,-180.0,-179.939876176485,57
4376.7626052,180.0,179.9398966729094,57
4408.2434577,-180.0,-179.9399427126354,55
4439.830248599999,180.0,179.9398989054888,55
4471.4186303999995,-180.0,-179.9399443285274,57
4502.889448600001,180.0,179.9399077116444,55
4534.4003971,-180.0,-179.9399959816938,57
4565.9750994000005,180.0,179.9400183601022,57
4597.4890232,-180.0,-179.9400020641848,57
4628.9374118,180.0,179.939933189365,57
4660.414044699999,-180.0,-179.9400867638904,57
4692.007834399999,180.0,179.939946820195,57
4723.6031561,-180.0,-179.9400549692086,57
4755.1867329,180.0,179.9400480731702,57
4786.630721699999,-180.0,-179.9400491690244,57
4818.082045499999,180.0,179.9398735140616,57
4849.655760600001,-180.0,-179.9399805689954,57
4881.121629200001,180.0,179.9398952765482,57
4912.576337799999,-180.0,-179.939962642504,57
4944.0156578999995,180.0,179.9399344951658,57
4975.466409799999,-180.0,-179.9399391578628,57
5006.901254799999,180.0,179.9399411684314,55
5038.341535199999,-180.0,-179.939952503182,57
5069.810639200001,180.0,179.9399157287536,57
5101.2925048,-180.0,-179.9399492518524,57
5132.7972775,180.0,179.9400333805368,57
