Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
-90.0,-89.91359348490141,-89.936455118981
90.0,89.90288180222548,89.9361837931576
-90.6,-90.51619282271139,-90.5423284156542
90.6,90.51679073909358,90.5421459733302
-91.19999999999999,-91.11967778110075,-91.1482111490734
91.19999999999999,91.11710750853283,91.1480255855912
-91.8,-91.72825630986354,-91.7541117698834
91.8,91.72792773120892,91.7539688144576
-92.39999999999999,-92.33102519126491,-92.360007766122
92.39999999999999,92.33243623076115,92.3599518724002
-93.0,-92.93805970149153,-92.9659665141606
93.0,92.93660345435197,92.9659265761792
-93.6,-93.53834641317603,-93.571825250396
93.6,93.54533267964754,93.5718823953118
-94.19999999999999,-94.1433029063066,-94.1778253933038
94.19999999999999,94.14748781349432,94.1775188626286
-94.8,-94.76406704896444,-94.783578359571
94.8,94.75542176230967,94.7836793312334
-95.39999999999999,-95.35763940390474,-95.3893941440782
95.39999999999999,95.36400604142833,95.3895613678466
-96.0,-95.95854612095378,-95.9952476230036
96.0,95.96704139949911,95.9952878914598
-96.6,-96.49872570905718,-96.5335686749744
96.6,96.50934354969395,96.5338025679758
-97.19999999999999,-97.10968936031898,-97.139214236675
97.19999999999999,97.11041222027787,97.1397095482416
-97.8,-97.7111271923555,-97.7452314630086
97.8,97.71977471010386,97.7454506821184
-98.39999999999999,-98.32130480507635,-98.3510309692024
98.39999999999999,98.32554116854001,98.3511336377516
-99.0,-98.93023812918968,-98.9569483875428
99.0,98.92288650580899,98.9570363943836
-99.6,-99.53623821091941,-99.5628574715356
99.6,99.53499054887912,99.562846781041
-100.19999999999999,-100.13409587529908,-100.1688376834386
100.19999999999999,100.13827994767585,100.1686816987682
-100.8,-100.7473354969868,-100.7746887799902
100.8,100.74641262153324,100.7745819904646
-101.39999999999999,-101.35345348754662,-101.3805355625034
101.39999999999999,101.34886893533512,101.3804086927168
-101.99999999999999,-101.94993511988528,-101.9864705211144
101.99999999999999,101.95787229460333,101.9863432925118
-102.6,-102.56684409278633,-102.5924283341386
102.6,102.56419351250881,102.5923206902996
-103.19999999999999,-103.17049481919786,-103.198255722614
103.19999999999999,103.16639813440429,103.1982699008674
-103.8,-103.70834482019538,-103.7368796125434
103.8,103.70704717151457,103.7368435494344
-104.39999999999999,-104.3086881327333,-104.3428538035822
104.39999999999999,104.31290982597955,104.3428374314462
-104.99999999999999,-104.91914109549876,-104.9487320579786
104.99999999999999,104.92787322102829,104.948893289345
-105.6,-105.52749103318716,-105.5547865946534
105.6,105.52552791326038,105.5548794888722
-106.19999999999999,-106.13501905515223,-106.1606001221398
106.19999999999999,106.12750394039277,106.1607902161136
-106.8,-106.7380980549076,-106.7664132653474
106.8,106.72697857117738,106.7665534141902
-107.39999999999999,-107.33695309972948,-107.372226456904
107.39999999999999,107.34220248540399,107.372573966682
-107.99999999999999,-107.94657657343738,-107.977758762047
107.99999999999999,107.95291924591761,107.9781385035422
-108.6,-108.57506149200758,-108.5835617617786
108.6,108.5423765085591,108.583913385595
-109.19999999999999,-109.17045224006809,-109.1892513620606
109.19999999999999,109.16635438745197,109.1896836262132
-109.8,-109.76074498994393,-109.794945132985
109.8,109.75591356016275,109.7954091124654
-110.39999999999999,-110.39297314578344,-110.333686648341
110.39999999999999,110.28500142065838,110.3338717508208
-110.99999999999999,-110.92215034772295,-110.9395820328184
110.99999999999999,110.91882567104754,110.9396324243298
-111.6,-111.52220691117327,-111.545434152633
111.6,111.52416660614558,111.545440160316
-112.19999999999999,-112.12262171195994,-112.1512980190048
112.19999999999999,112.13794630872452,112.151310058747
-112.8,-112.73579204762765,-112.757257052002
112.8,112.73005424691246,112.7571132852826
-113.39999999999999,-113.33440014577073,-113.3632463207496
113.39999999999999,113.34429968118766,113.363056964091
-113.99999999999999,-113.93996607294143,-113.9691361468606
113.99999999999999,113.93250467906807,113.968881942746
-114.6,-114.54684007847084,-114.5749458993842
114.6,114.53548647214738,114.5748921332732
-115.19999999999999,-115.15324592033139,-115.1809610182126
115.19999999999999,115.14980912137683,115.1807458590154
-115.8,-115.75579528171896,-115.786901130554
115.8,115.7557645009594,115.786824657127
-116.39999999999999,-116.35696646181013,-116.3927702852858
116.39999999999999,116.36336913634509,116.392843598288
-116.99999999999999,-116.97650282546286,-116.998691304842
116.99999999999999,116.96125931367553,116.9988044572174
-117.6,-117.5121069737867,-117.5371293175902
117.6,117.50847405565443,117.5372719376344
-118.19999999999999,-118.12109574654099,-118.143107914882
118.19999999999999,118.1119141422873,118.1432447013142
-118.8,-118.71947611049454,-118.7487238813248
118.8,118.71960194349347,118.7489198823658
-119.39999999999999,-119.32635185900382,-119.3548810719396
119.39999999999999,119.32748278021218,119.354957490478
-119.99999999999999,-119.93252897600495,-119.9603517336098
119.99999999999999,119.92989563567475,119.9607108338276
-120.6,-120.53803234220504,-120.566126819262
120.6,120.53767209797662,120.5663075922248
-121.19999999999999,-121.14302521008828,-121.1719205874096
121.19999999999999,121.14793005464777,121.1721496230766
-121.8,-121.74474686912693,-121.7775777781702
121.8,121.75507046263641,121.777955938516
-122.39999999999999,-122.35280117066044,-122.3836509025014
122.39999999999999,122.35429318801236,122.3837282533728
-122.99999999999999,-122.95991793627522,-122.9895839074974
122.99999999999999,122.96014347810707,122.9895152205738
-123.6,-123.5620780480508,-123.595585843678
123.6,123.56566646963077,123.5953829281904
-124.19999999999999,-124.09851362387487,-124.1340074101072
124.19999999999999,124.10589841616417,124.1339043911632
-124.8,-124.71618143050914,-124.7400026222768
124.8,124.71329580494726,124.7398443351508
-125.39999999999999,-125.31547730419575,-125.3458698003302
125.39999999999999,125.32077465560765,125.3456422498428
-125.99999999999999,-125.92980143707268,-125.9517638807744
125.99999999999999,125.9269245072537,125.951574528317
-126.6,-126.53952503066427,-126.5576922932122
126.6,126.52392660953859,126.5575324422408
-127.19999999999999,-127.13684484908208,-127.163620513788
127.19999999999999,127.13773901375662,127.1634733170892
-127.8,-127.73864637985338,-127.7694854858552
127.8,127.74048007246546,127.7694531412048
-128.39999999999998,-128.34661399463022,-128.3753443557354
128.39999999999998,128.35270314853165,128.3753711840036
-129.0,-128.95842286731008,-128.9812104067504
129.0,128.9552615001444,128.9812728316964
-129.6,-129.55514665707926,-129.5869804939036
