Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
-90.0,-89.90691975665462,-89.9371575560156
90.0,89.9041240047445,89.9370970833544
-90.6,-90.51121276812175,-90.5428740592144
90.6,90.51394089842603,90.5428851980504
-91.19999999999999,-91.11659987774192,-91.1487557275504
91.19999999999999,91.11754060638894,91.1487431384478
-91.8,-91.71723935883492,-91.7545042125674
91.8,91.72361858854545,91.7545362402088
-92.39999999999999,-92.32868001495628,-92.3602913330428
92.39999999999999,92.32779976796401,92.3603198449168
-93.0,-92.9388993625389,-92.9660756746132
93.0,92.93937610800393,92.9661273214678
-93.6,-93.54264066384366,-93.5719341908598
93.6,93.54216422703772,93.5719718502894
-94.19999999999999,-94.14629417318697,-94.1777658550294
94.19999999999999,94.15056776556872,94.1778248240594
-94.8,-94.75150921659167,-94.7835836823552
94.8,94.76181101566591,94.7836379589088
-95.39999999999999,-95.35896712338113,-95.3893938777768
95.39999999999999,95.36114098049823,95.3894487757184
-96.0,-95.96807544865425,-95.9952204185256
96.0,95.96390779807219,95.9951727884162
-96.6,-96.50805834092822,-96.5337648759244
96.6,96.49636770388345,96.5337174732078
-97.19999999999999,-97.11270172103477,-97.139633131121
97.19999999999999,97.11044424910236,97.1395676084892
-97.8,-97.71430056036702,-97.7455754247468
97.8,97.71029418750652,97.7454285384622
-98.39999999999999,-98.32671816241478,-98.3515438480466
98.39999999999999,98.31508363342684,98.3513665935016
-99.0,-98.93273637224503,-98.9575067476382
99.0,98.92720961009988,98.9572697232278
-99.6,-99.53172259810735,-99.5634587301556
99.6,99.53119441431781,99.5632464577406
-100.19999999999999,-100.14046505303322,-100.1693849357598
100.19999999999999,100.13737706030136,100.169189940695
-100.8,-100.74757431267159,-100.7753006431656
100.8,100.74424281236367,100.7751406812844
-101.39999999999999,-101.35234738445695,-101.3811343549896
101.39999999999999,101.35393843031022,101.38107761491
-101.99999999999999,-101.9564518415968,-101.986954780595
101.99999999999999,101.95803136064498,101.98688835607
-102.6,-102.55938317312358,-102.5927082440192
102.6,102.56130797396094,102.592725266792
-103.19999999999999,-103.16577213822704,-103.1984547206918
103.19999999999999,103.16535965769127,103.1984710779826
-103.8,-103.70841536736896,-103.7369105484878
103.8,103.70440585008993,103.7369640796672
-104.39999999999999,-104.30968715196938,-104.3426643982664
104.39999999999999,104.31077579203915,104.3427710906992
-104.99999999999999,-104.9234540333267,-104.9484910875726
104.99999999999999,104.92632728994774,104.9485651528252
-105.6,-105.52525776669576,-105.5543180297602
105.6,105.51948685054502,105.5543242823926
-106.19999999999999,-106.1307223430273,-106.1601239619778
106.19999999999999,106.12963306165092,106.1601116973042
-106.8,-106.74187772188498,-106.7659220939086
106.8,106.74227858402122,106.7658618768016
-107.39999999999999,-107.34052567236904,-107.3718359769732
107.39999999999999,107.34215836094157,107.3716781880786
-107.99999999999999,-107.95221385897781,-107.9777797504234
107.99999999999999,107.95408304030114,107.9775087784518
-108.6,-108.58350775721333,-108.5837552689414
108.6,108.53146307635065,108.5834602458462
-109.19999999999999,-109.15332225124833,-109.1897192636276
109.19999999999999,109.1625061041788,109.1893067576818
-109.8,-109.76606667572224,-109.795695659819
109.8,109.76845444410829,109.7953346575372
-110.39999999999999,-110.37282854832422,-110.3343598036498
110.39999999999999,110.27657977482748,110.3339814282852
-110.99999999999999,-110.91474918434069,-110.940333838131
110.99999999999999,110.90713293316304,110.9399523636912
-111.6,-111.51305693490231,-111.5462463984084
111.6,111.52066343973205,111.5459700455732
-112.19999999999999,-112.1199945834315,-112.1520436452652
112.19999999999999,112.10979667531919,112.151873283672
-112.8,-112.73177009944209,-112.757930866957
112.8,112.72497712407076,112.7577670565556
-113.39999999999999,-113.33435681833451,-113.3636808088028
113.39999999999999,113.32941057253525,113.363628469876
-113.99999999999999,-113.9422713383574,-113.969454260065
113.99999999999999,113.93904068290365,113.9694128155304
-114.6,-114.54612949056398,-114.575177025766
114.6,114.54186786159588,114.5751869621264
-115.19999999999999,-115.15455192034314,-115.1809380365784
115.19999999999999,115.15317495333623,115.1809576037576
-115.8,-115.75867851831886,-115.7867165273512
115.8,115.76197985669997,115.7868023970336
-116.39999999999999,-116.36144343922257,-116.392544909538
116.39999999999999,116.3672293259215,116.3925715124018
-116.99999999999999,-116.97782947830402,-116.9982940902138
116.99999999999999,116.97655627800278,116.998369212816
-117.6,-117.51511713179674,-117.5368854549898
117.6,117.50536787143068,117.5368787891708
-118.19999999999999,-118.10278701237337,-118.1426851343402
118.19999999999999,118.11528276982358,118.1426418710564
-118.8,-118.72501122525381,-118.748590801672
118.8,118.71252024806064,118.748435709176
-119.39999999999999,-119.32784996967185,-119.354464620547
119.39999999999999,119.32199433848055,119.3542521110592
-119.99999999999999,-119.933946956821,-119.960437958819
119.99999999999999,119.92919030813349,119.9601271737236
-120.6,-120.53081986026733,-120.5663411061944
120.6,120.52498062937809,120.5660231965032
-121.19999999999999,-121.14490214668086,-121.1723291171228
121.19999999999999,121.14582091073005,121.1719172615728
-121.8,-121.75374106058565,-121.778268471629
121.8,121.753398845103,121.7779728314458
-122.39999999999999,-122.35205693950219,-122.3842928032774
122.39999999999999,122.35590430038161,122.3839839431438
-122.99999999999999,-122.95437197495177,-122.9902052681828
122.99999999999999,122.96107105236194,122.9899259600764
-123.6,-123.56992053789682,-123.5960411015442
123.6,123.57036511156093,123.5958787273256
-124.19999999999999,-124.10283508109382,-124.1345381837386
124.19999999999999,124.11332882135977,124.1344388359366
-124.8,-124.70974736842226,-124.7403518134706
124.8,124.71101269680146,124.7402668555258
-125.39999999999999,-125.3102811354077,-125.3460829610196
125.39999999999999,125.31418261900943,125.346096669901
-125.99999999999999,-125.91612111738165,-125.9518887211836
125.99999999999999,125.92522044663903,125.9518843670632
-126.6,-126.53029509966123,-126.557684443404
126.6,126.52788772500993,126.5576746887414
-127.19999999999999,-127.14164036996782,-127.1633804583536
127.19999999999999,127.13192681609631,127.163506587517
-127.8,-127.75195703071105,-127.7693374397254
127.8,127.74400907871568,127.7692464804068
-128.39999999999998,-128.35017169597006,-128.374796017806
128.39999999999998,128.34546756701195,128.3749852068516
-129.0,-128.95420074084402,-128.9808729918972
129.0,128.94889353677178,128.9808169611778
-129.6,-129.55523874581542,-129.586621635534
129.6,129.55195772624586,129.5865633777878
-130.2,-130.17026304117985,-130.192452878351
130.2,130.1551992099709,130.1924003301912
-130.79999999999998,-130.77458879048075,-130.7984563004844
130.79999999999998,130.77336604447106,130.7983117341446
-131.39999999999998,-131.3076660848149,-131.3370850207284
131.39999999999998,131.3047818475175,131.3368229215446
-132.0,-131.91728541953364,-131.9430366772984
132.0,131.91686259751023,131.9427070576404
-132.6,-132.52442144101622,-132.5490725120892
132.6,132.51421169403073,132.5486907303616
-133.2,-133.12125669550755,-133.1550423921618
133.2,133.13039120306834,133.1546196389006
-133.79999999999998,-133.73220921424053,-133.7608217282156
133.79999999999998,133.73894367664195,133.7604492281746
-134.39999999999998,-134.3313756144168,-134.3666831106882
134.39999999999998,134.33675076922825,134.3665393169142
-135.0,-134.9425370022208,-134.972549334652
135.0,134.9515140340069,134.972417991063
-135.6,-135.55104667900412,-135.5784002486756
135.6,135.54524383168942,135.578392627183
-136.2,-136.15553753650585,-136.18418273232
136.2,136.1603770028279,136.1841759700614
-136.79999999999998,-136.7576901924851,-136.7899953985372
136.79999999999998,136.75612979152788,136.7900024205878
-137.39999999999998,-137.36701894689628,-137.3957865834412
137.39999999999998,137.36591674170634,137.3957783484088
-138.0,-137.9118416043504,-137.9341843797268
138.0,137.90773388920238,137.934260823404
-138.6,-138.50409442409193,-138.5400193855008
138.6,138.50914384490113,138.5400428412162
